tanggal,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II,Daging Ayam,Daging Ayam Ras Segar,Daging Sapi,Daging Sapi Kualitas I,Daging Sapi Kualitas II,Telur Ayam,Telur Ayam Ras Segar,Bawang Merah,Bawang Merah Ukuran Sedang,Bawang Putih,Bawang Putih Ukuran Sedang,Cabai Merah,Cabai Merah Besar,Cabai Merah Keriting,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Minyak Goreng,Minyak Goreng Curah,Minyak Goreng Kemasan Bermerk I,Minyak Goreng Kemasan Bermerk II,Gula Pasir,Gula Pasir Kualitas Premium,Gula Pasir Lokal
2016-09-26,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,33250.0,33250.0,135400.0,143250.0,127500.0,19750.0,19750.0,35000.0,35000.0,37000.0,37000.0,42500.0,50000.0,35000.0,32900.0,30000.0,35750.0,13800.0,12750.0,14650.0,14000.0,15700.0,16900.0,14500.0
2016-09-27,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,33250.0,33250.0,135400.0,143250.0,127500.0,19750.0,19750.0,32150.0,32150.0,38000.0,38000.0,43750.0,50500.0,37000.0,30750.0,26500.0,35000.0,13800.0,12750.0,14650.0,14000.0,15600.0,16650.0,14500.0
2016-09-28,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,33250.0,33250.0,135400.0,143250.0,127500.0,19750.0,19750.0,34750.0,34750.0,39000.0,39000.0,48000.0,51500.0,44500.0,31650.0,27500.0,35750.0,13750.0,12500.0,14650.0,14000.0,15550.0,16500.0,14500.0
2016-09-29,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,33250.0,33250.0,135400.0,143250.0,127500.0,19250.0,19250.0,33000.0,33000.0,39000.0,39000.0,49900.0,51000.0,48750.0,31000.0,28000.0,34000.0,13750.0,12500.0,14650.0,14000.0,15550.0,16500.0,14500.0
2016-09-30,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,32750.0,32750.0,135400.0,143250.0,127500.0,19000.0,19000.0,33500.0,33500.0,39000.0,39000.0,54750.0,58000.0,51500.0,30250.0,27500.0,33000.0,13750.0,12500.0,14650.0,14000.0,15550.0,16500.0,14500.0
2016-10-01,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,32750.0,32750.0,135400.0,143250.0,127500.0,19000.0,19000.0,33500.0,33500.0,39000.0,39000.0,54750.0,58000.0,51500.0,30250.0,27500.0,33000.0,13750.0,12500.0,14650.0,14000.0,15550.0,16500.0,14500.0
2016-10-02,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,32750.0,32750.0,135400.0,143250.0,127500.0,19000.0,19000.0,33500.0,33500.0,39000.0,39000.0,54750.0,58000.0,51500.0,30250.0,27500.0,33000.0,13750.0,12500.0,14650.0,14000.0,15550.0,16500.0,14500.0
2016-10-03,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,32000.0,32000.0,135400.0,143250.0,127500.0,19000.0,19000.0,34500.0,34500.0,39000.0,39000.0,58250.0,66500.0,50000.0,32750.0,30500.0,35000.0,13750.0,12500.0,14650.0,14000.0,15350.0,16400.0,14250.0
2016-10-04,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,32000.0,32000.0,135400.0,143250.0,127500.0,19000.0,19000.0,35000.0,35000.0,39500.0,39500.0,59750.0,69500.0,50000.0,32500.0,30000.0,35000.0,13750.0,12500.0,14650.0,14000.0,15350.0,16400.0,14250.0
2016-10-05,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,32000.0,32000.0,135400.0,143250.0,127500.0,19150.0,19150.0,32750.0,32750.0,36250.0,36250.0,60500.0,70500.0,50500.0,31350.0,29000.0,33650.0,13800.0,12500.0,14650.0,14250.0,14900.0,16250.0,13500.0
